"","logFC","logCPM","LR","PValue","FDR"
"Bra033098",-12.1531054092574,6.07082272490962,998.828764703688,3.22738206869365e-219,7.75669006389832e-215
"Bra023495",-11.8891705686078,5.79229844279458,974.507540901026,6.24423369416616e-214,7.50369563027947e-210
"Bra016271",-14.2506917620721,8.14446679024879,891.367787884834,7.38533020530792e-196,5.91663420514569e-192
"Bra020631",-11.3183146708229,5.20685835420667,870.772201390337,2.21671281315141e-191,1.33191189378203e-187
"Bra011216",-11.2587700751745,5.13364961898895,853.851906876587,1.05719688922659e-187,5.08173400713435e-184
"Bra020643",-14.3839880917678,8.28073646168838,841.055193432627,6.40026901383106e-185,2.56373442464026e-181
"Bra009785",7.95094562985516,6.01850263728127,786.829980879471,3.93994313595397e-173,1.35275133327882e-169
"Bra011765",-7.31994723865235,6.34155306165032,749.444264574814,5.29954426057467e-165,1.59211558448315e-161
"Bra026924",-8.33401295890561,5.02825962273455,729.989439442792,9.00525811248304e-161,2.40480414972686e-157
"Bra029392",8.33906446094584,6.29647600841322,723.140998817097,2.77752100756626e-159,6.67549398958475e-156
"Bra032700",7.91866679461697,5.20177591140161,705.99835699857,1.48364463847303e-155,3.24162865827826e-152
"Bra014936",7.12184215724241,6.41335617663675,694.312623561782,5.1578499071757e-153,1.03303137224217e-149
"Bra009821",8.41857682322475,5.90062912497287,686.54671334905,2.51912742530087e-151,4.65728527228316e-148
"Bra013702",-9.30084965590048,4.96540669014023,650.058423774844,2.16972728753387e-143,3.72480183061349e-140
"Bra032339",8.27888014932841,4.71457898708968,615.585464354086,6.8219427904518e-136,1.09305715350479e-132
"Bra033316",8.72566730404093,4.70169854329274,611.230194331436,6.04198626704715e-135,9.0758186213882e-132
"Bra019678",7.91118888650676,5.84010025547715,592.95378027215,5.70719720876135e-131,8.06863398325708e-128
"Bra031678",-10.6001150885921,4.48319612319402,591.206868241721,1.3689845497794e-130,1.82789859274434e-127
"Bra017778",-10.2887069812089,4.19429347386545,590.225788969311,2.23767308300906e-130,2.83053867773894e-127
"Bra017888",-7.39295764256141,4.70351601187624,588.057236221309,6.62961768943891e-130,7.96681157739873e-127
"Bra040221",5.23183796865797,5.27974747610586,580.614367360787,2.75704240232197e-128,3.15536938559077e-125
"Bra035069",-10.3091165626376,4.21486796214297,568.995085611539,9.28780111978153e-126,1.01465005505832e-122
"Bra025126",-6.41084006278746,5.25096318471269,568.740722456276,1.05497925858579e-125,1.10240745655874e-122
"Bra012631",4.72830065547208,5.93756405263143,567.832203952466,1.66292303613904e-125,1.66527884377357e-122
"Bra009466",-10.4321882841639,4.32334117837397,567.032732703035,2.48187555428131e-125,2.38597588286388e-122
"Bra017698",-6.17163416509723,4.58171002782987,556.605273948981,4.60352052589618e-123,4.25542355074572e-120
"Bra035136",5.74284741207344,6.43302625618466,551.133068478658,7.13677736806187e-122,6.35278915792589e-119
"Bra033829",-10.346238794008,4.26195564791403,549.090751812347,1.98512950405966e-121,1.70395008930607e-118
"Bra022071",8.09133225778162,4.53299917218549,544.375427067299,2.10656382285624e-120,1.74583292822506e-117
"Bra100355",-10.4453934531178,4.2711385672425,543.271263850208,3.66251912012723e-120,2.93416615110459e-117
"Bra008191",8.51043324165422,4.95631390969155,534.746660203825,2.61996664348568e-118,2.03123478417854e-115
"Bra026843",-4.65670163426993,6.1106718625518,531.740023729381,1.18140387893218e-117,8.87308150820499e-115
"Bra001707",-7.68280964188241,4.67738943713482,522.836984539903,1.0216956293848e-115,7.44104022928315e-113
"Bra021340",6.95783885626854,4.6386237068478,513.707996092063,9.89615654172699e-114,6.99541842129019e-111
"Bra026944",-6.61904648195479,4.52908263095343,509.722133650249,7.2890420915541e-113,5.00528107509746e-110
"Bra005748",8.21565340570185,4.6594898238262,495.044283315706,1.13826889556981e-109,7.5992096211458e-107
"Bra024670",-6.19906235245156,4.26375260249648,487.165411798838,5.89643935221854e-108,3.83013576733028e-105
"Bra040628",10.3233935664665,4.30928737827433,479.384461266324,2.9085979971248e-106,1.83961169112888e-103
"Bra015108",-5.26928060921258,4.59764445589492,476.767280548337,1.07939674885897e-105,6.65185165694269e-103
"Bra040268",-9.94111976946263,3.82450462373614,470.951587414727,1.98928396069563e-104,1.19526126778397e-101
"Bra024600",7.13750547473356,4.45020031760379,467.864175545041,9.34419654993264e-104,5.47752243612393e-101
"Bra006384",10.0868846253922,4.08433120539976,467.433880211712,1.15925336828864e-103,6.63368939367836e-101
"Bra019453",5.99808602765459,4.8976645774787,465.778353014874,2.65728848346084e-103,1.48523887003483e-100
"Bra100433",-10.5065800511828,4.44446661308922,463.886607018266,6.85655715172519e-103,3.74523851328553e-100
"Bra026762",-9.86823100640798,3.743141657784,463.680568439623,7.60226259123954e-103,4.06028398039669e-100
"Bra040132",7.61454090309464,4.08383497838389,463.382234170744,8.82804405668676e-103,4.6124611056176e-100
"Bra012950",-7.85998921593161,3.94666384795966,458.294857047839,1.12969525025352e-101,5.77682886055175e-99
"Bra026370",8.6630687367638,3.99126405491191,449.955510710433,7.37560555530878e-100,3.69302716492274e-97
"Bra000176",-4.97880483950138,4.46161064556636,448.197338916671,1.78002557767101e-99,8.73084382321328e-97
"Bra017966",-4.15404424888589,5.08144784012452,440.537676940141,8.26850806991568e-98,3.97450645904707e-95
"Bra011766",-4.33030206423675,6.30944265048835,440.260551979146,9.50036089708227e-98,4.47709164314658e-95
"Bra024707",8.14178691242649,4.13938265223501,438.255771317936,2.59453357845722e-97,1.19917346201232e-94
"Bra025781",-9.96426321634803,3.87570800178747,435.161907185477,1.22296710620076e-96,5.54580970385456e-94
"Bra100944",6.14549560656877,5.25682578358277,432.366537307872,4.96380430769439e-96,2.20926060613198e-93
"Bra012688",-9.7394092794891,3.62064026462204,421.374328072791,1.22548685911251e-93,5.35515475852909e-91
"Bra101550",7.91833694366638,3.92872069344217,419.184687211908,3.67205469399329e-93,1.57596718777562e-90
"Bra102539",9.91532913694305,3.92114193056482,418.121677029181,6.25586876270945e-93,2.63778157619226e-90
"Bra028065",7.33457282668107,4.13733667872485,417.548065257741,8.33954846274629e-93,3.45573634058007e-90
"Bra027763",-4.34832845454323,4.93270093692138,417.032492533159,1.07985327976444e-92,4.3988463942133e-90
"Bra022069",7.91846804630565,3.9322100734461,416.236376888697,1.6093556520726e-92,6.4465422903188e-90
"Bra012997",-6.64808821363669,3.92629665572183,416.119061947578,1.70681938083995e-92,6.72486836050939e-90
"Bra100802",-8.4245083839612,3.45671801919016,407.452040674681,1.31448593508516e-90,5.09554112319946e-88
"Bra037029",-9.88015452161819,3.82993796228308,407.365977647944,1.37242917315506e-90,5.23570837263629e-88
"Bra029946",-8.18562364622196,5.36446467938527,405.814898454155,2.98625484148373e-90,1.12143201344094e-87
"Bra010890",-6.16263827978179,4.18195048859343,404.542254644677,5.65140824840515e-90,2.08962993603337e-87
"Bra014438",-8.55942546793441,3.58364439893648,403.006823869597,1.2200930200502e-89,4.44298721877069e-87
"Bra023234",7.08381952233177,3.91741447477857,402.774684374181,1.37064787451008e-89,4.91673895760825e-87
"Bra032770",5.91328933023615,4.62880409430459,402.057490904615,1.9635754071593e-89,6.94008401995098e-87
"Bra100354",-9.7863031066118,3.61933346252594,400.041997688921,5.39252646145341e-89,1.87831856484886e-86
"Bra008192",6.19128169164707,5.2681087137343,395.585725788777,5.03361322379531e-88,1.72825514600995e-85
"Bra040257",8.43150013165834,3.7725280183266,395.305096653822,5.79390024833766e-88,1.96127603617672e-85
"Bra006844",-9.74538867147836,3.64701561809611,392.642459829521,2.20097683898719e-87,7.34698296503029e-85
"Bra024251",8.46515204390361,3.80553512534873,392.352558052867,2.5452264223462e-87,8.37972216913269e-85
"Bra028616",7.36768410955981,4.4523173872703,391.950202451652,3.11399927669991e-87,1.01137646778656e-84
"Bra008763",8.4236135509297,3.76599390851506,391.444900570331,4.01164164404659e-87,1.28554393697354e-84
"Bra035985",5.58937002404869,4.07152686560834,389.85721238505,8.89123955947443e-87,2.81173752068958e-84
"Bra034086",-6.67034770312151,3.81266107741824,385.987140678413,6.18718419844548e-86,1.93120500033037e-83
"Bra032605",-9.67006150145312,3.56580448012101,380.945101500733,7.74815788179156e-85,2.38742598116639e-82
"Bra019068",-3.72084149899781,5.15640589989924,379.562407751012,1.54964455728283e-84,4.71445028983995e-82
"Bra012295",6.6715920959989,4.02867494981709,378.347001141928,2.85001474855897e-84,8.56215680835829e-82
"Bra024228",9.94087319391955,3.94526730376486,377.011059443527,5.56810286141503e-84,1.65214548359566e-81
"Bra032593",-9.42960733455092,3.36331332741916,373.153830725247,3.85048259496504e-83,1.12479953665224e-80
"Bra015167",7.72596347758291,3.74710615819722,373.136322490465,3.88442879013629e-83,1.12479953665224e-80
"Bra013009",9.67837294788866,6.19868324581644,370.60259416647,1.38353758854652e-82,3.95856457180084e-80
"Bra039592",-9.57741975485363,3.52354574125092,366.035722655993,1.36569140586459e-81,3.86153261747643e-79
"Bra015018",-9.51386722123959,3.44435343725227,363.598856612249,4.63397782047603e-81,1.29503515043396e-78
"Bra002728",3.64768293459147,5.04842693208643,360.098932241051,2.6794259384527e-80,7.40199114997381e-78
"Bra032986",-5.75548846980716,3.63260766521185,359.6888187723,3.2911134781772e-80,8.9884796971035e-78
"Bra032606",-8.09844688823687,3.14765580985893,355.589931934371,2.56968469874577e-79,6.93930360108493e-77
"Bra031679",8.36869284481936,3.70887647792216,355.032008371746,3.39915118579674e-79,9.07724439993766e-77
"Bra038030",7.84015564729484,3.86706344413286,354.802277814922,3.81413105734711e-79,1.00734973442066e-76
"Bra023330",9.53174829163966,3.55929741055475,352.424368178042,1.25662072699605e-78,3.28278506006771e-76
"Bra100663",-5.90937690097905,3.79123055640872,350.085413374883,4.06012719806314e-78,1.04925910836827e-75
"Bra006426",-3.81808954531924,4.60490042061691,346.793124702543,2.11588080235754e-77,5.40990204296394e-75
"Bra011114",5.16317717297952,4.08611501650703,346.346384063494,2.6471467218755e-77,6.69700255932166e-75
"Bra037232",-3.92104507546316,4.51129961590655,345.820213033859,3.44637762272378e-77,8.62814997755661e-75
"Bra015220",9.36982273883364,3.40402282908146,345.490116668199,4.06676022086545e-77,1.00763417678639e-74
"Bra030653",4.40593770980967,6.59070571358333,345.038281961394,5.10088786969858e-77,1.25096672510547e-74
"Bra035436",8.23941436454382,3.59023742460495,344.777226650691,5.81428924682907e-77,1.41152149250798e-74
"Bra034105",-9.82673548805706,3.70615529616736,344.073981633776,8.27266007843039e-77,1.98825112324996e-74
"Bra009636",-4.04491527903328,6.56161501534846,343.029523302348,1.3966989377518e-76,3.32359032375513e-74
"Bra002624",-5.68158257626496,4.5873253865648,342.902252609952,1.48874186100892e-76,3.50788449877337e-74
"Bra014656",5.94828584482408,4.22385338345428,339.970399208853,6.4761534078396e-76,1.51114437867978e-73
"Bra010106",4.58522100732197,4.70925314816471,336.821282028181,3.14158094839903e-75,7.26007274171369e-73
"Bra038175",8.08828371195384,3.45468050255066,336.041784984006,4.64423364554842e-75,1.06304296606772e-72
"Bra014820",7.49091148968031,3.52147480300513,334.209600320808,1.16398693135729e-74,2.63917565172085e-72
"Bra016314",-4.14775470472423,4.2222706735683,333.223855316192,1.90825998162835e-74,4.28627293443512e-72
"Bra002582",-9.44607383484246,3.37884315563919,333.157530078781,1.9727990718315e-74,4.39020860114799e-72
"Bra100413",9.42619085830534,3.45539257089911,331.74395452391,4.00824926766463e-74,8.83800577055521e-72
"Bra012397_Bra012398",6.54776436501411,5.58132013034671,330.869252913537,6.21532233584258e-74,1.35799142745128e-71
"Bra003086",7.6762469514405,3.6963278407248,330.218802619479,8.61255290093294e-74,1.86481167946867e-71
"Bra027613",4.35361314291059,5.12299937235629,325.906548355591,7.48795510044284e-73,1.60683493646467e-70
"Bra014948",4.68792025244854,4.68857330328422,324.852645680521,1.2703236126707e-72,2.70185466432987e-70
"Bra003848",-9.15714652757941,3.07257805314581,324.279849001734,1.69307612816591e-72,3.5694203214333e-70
"Bra032856",7.38498676502547,4.194784059455,323.371951284999,2.66949477221948e-72,5.57901194395852e-70
"Bra033398",5.21924644239235,3.91056543378461,322.682940840674,3.77143075108951e-72,7.81401436824874e-70
"Bra014965",-3.5535494573379,4.40079472231394,321.399545403364,7.17880236906339e-72,1.47466099263307e-69
"Bra025136",9.2100842653414,3.26041858865448,320.028756389882,1.4277017015501e-71,2.90791378771654e-69
"Bra018029",-3.42848351714592,4.86122260018253,319.527348054372,1.83592654533278e-71,3.70795450340571e-69
"Bra016375",-4.34286461178912,5.57601783429727,318.820460053656,2.61717063179105e-71,5.24175658037218e-69
"Bra038573",7.14384887804035,3.63431834208003,318.670683871647,2.82134975913798e-71,5.60399339761341e-69
"Bra025829",-10.8629818407408,4.89317946603,316.758421991239,7.36204028738459e-71,1.45032193661476e-68
"Bra018070",8.20235686438128,3.55488412006744,316.65037371279,7.77202515492045e-71,1.51864107783218e-68
"Bra023131",-3.65408114770377,5.60837116522219,314.15436649807,2.71795962902688e-70,5.26801949387354e-68
"Bra040969",-9.16360742585123,3.05981319152429,313.832155023338,3.19471240329429e-70,6.14253743206199e-68
"Bra015783",-2.97834635534535,5.48982862102261,313.661593159934,3.48005503944101e-70,6.63806689031153e-68
"Bra034085",-4.03931880906341,3.99784282718888,313.129674951315,4.54419466126344e-70,8.59962003848862e-68
"Bra038342",-11.0794226387568,4.96392401946642,310.780640203778,1.47627803285204e-69,2.77194267512233e-67
"Bra008560",6.89233635169569,3.40308354359563,306.93682034379,1.0151455024416e-68,1.89131837253345e-66
"Bra035663",-8.90734361519246,2.79674061410804,303.656131832888,5.26307038730892e-68,9.73020259142943e-66
"Bra029138",5.50308970128757,4.08044346552198,302.10855602837,1.14391380492776e-67,2.09868888455219e-65
"Bra034598",9.15383191874638,3.2073472414236,300.689563647034,2.33098373288122e-67,4.24415629061115e-65
"Bra021797",-5.59198596018865,5.17436838918797,298.719934919543,6.26118293436687e-67,1.13143812514717e-64
"Bra027541",8.46868926080735,3.80255068423081,297.02820040962,1.46297528807465e-66,2.62396627414821e-64
