"","logFC","logCPM","LR","PValue","FDR"
"Bra028803",-5.04345587641822,3.51422201695321,132.198542548192,1.35379439572305e-30,3.25370945068077e-26
"Bra019324",4.80973559166455,2.20912474986441,76.4363707447615,2.27423889375706e-18,2.73295287862786e-14
"Bra034565",4.08128704271422,2.15929878228834,68.9341495665121,1.01806606714425e-16,8.15606661924832e-13
"Bra025587",4.1909194167755,3.29871295123087,55.0440125255384,1.17860814721041e-13,7.08166705251375e-10
"Bra029946",2.28084439797745,5.36446467938527,47.801734154625,4.71574730155253e-12,1.89867523517115e-08
"Bra026156",1.7646721386692,6.46779743096494,47.5065307691562,5.48210046821035e-12,1.89867523517115e-08
"Bra030161",2.8467916347489,5.10562164163362,47.4894882071174,5.52996864699928e-12,1.89867523517115e-08
"Bra037739",2.04148229165716,4.53995750363703,47.0944112537858,6.76483064672516e-12,2.03232424704241e-08
"Bra016050",5.11923173519508,1.75533412946354,46.0118395157424,1.17540497648725e-11,3.13885368943273e-08
"Bra029042",3.4965523508202,1.24065619651673,45.5989663527029,1.45118140230276e-11,3.48776938229445e-08
"Bra035094",2.17140847972223,2.98552978683384,44.8233072121503,2.15640550353639e-11,4.71154998836305e-08
"Bra001781",2.30678569440896,3.13860459220854,44.1466256395162,3.04676556315806e-11,6.10216362874506e-08
"Bra026919",1.17695784472607,4.93312207002925,43.9039780118196,3.4488719354368e-11,6.37616831509908e-08
"Bra013011",3.23828817762336,3.7560722189475,43.0265950587375,5.40007802338459e-11,9.27039108671609e-08
"Bra026157",1.25758315798366,4.79163128065059,42.822115431659,5.99505637643778e-11,9.60567899675371e-08
"Bra031058",3.24072862984295,2.75797668843712,42.5732223985636,6.8085113474654e-11,1.02272351078115e-07
"Bra018543",1.83854134174094,6.99767053634338,41.2467801768163,1.34172679260935e-10,1.89688598432784e-07
"Bra014975",-1.87117481731682,5.06049490348028,41.1060239675313,1.44191242980924e-10,1.92527351877973e-07
"Bra033696",2.81963671030069,5.84431766845763,40.3015849517451,2.17632348046777e-10,2.75293465945066e-07
"Bra028635",1.37845099332106,4.04918846927249,39.0849916782123,4.05751192938277e-10,4.87591208553927e-07
"Bra008510",1.73000532162803,5.78906228752597,38.858771471798,4.55602097000423e-10,5.21425752348008e-07
"Bra039212",2.45711537166264,3.36277321129286,37.0976930968975,1.12356567728602e-09,1.22744443126783e-06
"Bra035671",1.80514857632364,4.91382729367852,36.617871838349,1.43708114675306e-09,1.46291506065937e-06
"Bra029201",2.15688649711324,4.15899467802973,36.553417338479,1.48539326011931e-09,1.46291506065937e-06
"Bra007198",1.25564123037379,3.84392608674272,36.5063282480105,1.52171409322145e-09,1.46291506065937e-06
"Bra024638",2.01991167358757,2.39085162922877,36.0079116024143,1.96517989286763e-09,1.81658205943002e-06
"Bra033664",1.63669496030788,5.2292222607581,35.6972410009025,2.30490208934549e-09,2.05170432649368e-06
"Bra013434",3.75945149967806,1.37822261104499,35.5678443999642,2.46320225334208e-09,2.11430724845798e-06
"Bra008716",-3.988966819627,0.754907001686266,35.4919867941091,2.56101974583646e-09,2.1224671921184e-06
"Bra022814",1.92351353592989,4.62772092125033,34.8852396042011,3.49722098071575e-09,2.80174030168408e-06
"Bra021887",1.45101562622526,3.8305233779192,34.4401011660807,4.39572674590247e-09,3.4079644068071e-06
"Bra000651",4.30057577462889,0.618178231597622,34.2315174200187,4.89300492042699e-09,3.6749525080482e-06
"Bra027953",2.56749775044357,3.86976214157803,34.1636609523159,5.0666304293311e-09,3.69004229510739e-06
"Bra015699",1.56297277533579,3.50534312641639,33.7093684134693,6.39917633425603e-09,4.52346482404439e-06
"Bra031989",1.91344580337725,2.11504199492921,33.4342799898554,7.37131786454071e-09,4.87565195618638e-06
"Bra032870",2.58237729379283,2.2320653284456,33.4333209337138,7.37495369566569e-09,4.87565195618638e-06
"Bra025721",1.50055560660377,3.80254401617894,33.3990669860256,7.50599660393176e-09,4.87565195618638e-06
"Bra031844",3.02199482794088,3.46153524447323,32.939757044112,9.5059265818252e-09,6.01224840704176e-06
"Bra015963",2.95722698007109,1.83895306656691,32.8712230104048,9.84701612487246e-09,6.06828680885089e-06
"Bra037411",2.44916042922701,4.33000082184096,32.7425616854298,1.0520813073184e-08,6.28618775684978e-06
"Bra016202",1.98373438854181,2.23628358913277,32.7054319222801,1.07237121590597e-08,6.28618775684978e-06
"Bra021672",1.65727624051206,3.91050591574963,32.506024537636,1.18823610143987e-08,6.66823276303757e-06
"Bra004689",-3.35526703614572,3.40409513589368,32.4981916593489,1.19303490393033e-08,6.66823276303757e-06
"Bra027323",3.78734460765619,0.906632226672576,32.2041729655649,1.38792341930209e-08,7.58121624079691e-06
"Bra039777",1.7705092965547,4.4612113827996,31.9790331166634,1.5584562147042e-08,8.32354148093349e-06
"Bra000840",-1.52141010885496,8.01151106097134,31.8640099902026,1.65352695738119e-08,8.51528328950894e-06
"Bra033046",0.9723025663912,4.65653293845906,31.8141888123642,1.69648881457618e-08,8.51528328950894e-06
"Bra011441",2.25168844172596,1.98589690121234,31.8094335175418,1.70064740740796e-08,8.51528328950894e-06
"Bra018469",1.80508170731191,7.40154509467564,31.0414663978197,2.52574343878064e-08,1.21150424969235e-05
"Bra023288",1.95546353924236,4.20282238520923,31.0093854792435,2.56783715929828e-08,1.21150424969235e-05
"Bra025372",-2.01883853969474,3.20223990563372,31.0071438510253,2.57080455747315e-08,1.21150424969235e-05
"Bra017093",1.761538242701,3.70320006055367,30.7445716119654,2.94326063946745e-08,1.33966543555088e-05
"Bra023798",1.38600123748078,4.68441294236056,30.7373448311125,2.95424265974023e-08,1.33966543555088e-05
"Bra019368",2.29452218206103,3.68696737790723,30.5952009195024,3.17879052916078e-08,1.41479725144167e-05
"Bra006286",-2.23385324223772,3.30141264505948,30.3855354176343,3.54159190144862e-08,1.53767021076513e-05
"Bra028213",1.16730201925753,3.86821397992573,30.3630838182979,3.58282149466785e-08,1.53767021076513e-05
"Bra029278",1.14299483836769,6.53380197361626,30.27706733339,3.74527969894046e-08,1.57919389972517e-05
"Bra026515",1.1675679056682,4.57522055015501,29.8340445815167,4.70654261342782e-08,1.94670333635862e-05
"Bra009783",1.49741509025808,5.11737253641325,29.8044753035427,4.77887562807517e-08,1.94670333635862e-05
"Bra016499",1.84639730997433,5.87221214776572,29.7164538410197,5.00085547386987e-08,2.00317600764981e-05
"Bra003729",1.13502986856001,4.51928698003274,29.6668009325202,5.13060169984466e-08,2.0214570697388e-05
"Bra001122",2.86467822341874,3.38369757075511,28.9887440356716,7.28000813065153e-08,2.82205992600127e-05
"Bra040575",0.989659611364351,5.68846626245443,28.8460543291896,7.83653796652267e-08,2.98957703948263e-05
"Bra040442",2.09598746117575,4.41681298623423,28.7501029112597,8.23455447128081e-08,3.09233253379317e-05
"Bra030337",1.06954907447899,5.73086645018181,28.5918876376163,8.93557561560828e-08,3.30396345146968e-05
"Bra035574",1.65912799460664,3.03370534553649,28.2071268598275,1.09002471697386e-07,3.96934152238634e-05
"Bra020988",1.5242888862735,3.53271471320063,28.0538899722093,1.1798371550394e-07,4.22498651459643e-05
"Bra001626",-1.6816540301994,5.91233677586029,28.0106139525928,1.20651872122266e-07,4.22498651459643e-05
"Bra017676",-2.29872300460605,2.74481493297754,28.0003019034723,1.21296525550118e-07,4.22498651459643e-05
"Bra011560",-1.26731765465403,4.94281528748255,27.8944058338377,1.2811965059765e-07,4.39889668923416e-05
"Bra022680",1.7451919357202,3.42475921611549,27.6199156281718,1.47650683317855e-07,4.99807960966385e-05
