"","logFC","logCPM","LR","PValue","FDR"
"Bra010821",-6.95852608733443,6.03936315664859,237.866735128684,1.14778612898689e-53,2.75858918240708e-49
"Bra035334",4.39590402138189,4.67275333407542,170.337338070852,6.244373984877e-39,7.50386421762669e-35
"Bra041036",3.73866304307669,7.16535907567465,104.008295291499,2.01470769545673e-24,1.61404949175357e-20
"Bra017219",4.04960319321588,7.61148569070849,92.575141676421,6.48164767956665e-22,3.89449800826762e-18
"Bra019741",-4.03918792514595,7.82597164408631,90.1819616179403,2.17233620552625e-21,1.04419856727236e-17
"Bra013164",-4.25291152939349,9.3288746346496,82.8050588325941,9.05579182339094e-20,3.62744834472297e-16
"Bra018722",2.6373646861017,3.95536758944435,80.2441621309073,3.30888631254136e-19,1.13608248050884e-15
"Bra003598",4.9208177636419,3.89940605198876,79.897692682461,3.94306748459124e-19,1.18459604905832e-15
"Bra019324",4.91144972874898,2.20912474986441,79.379953868958,5.12434133523728e-19,1.36842688501214e-15
"Bra011670",1.99501189751515,5.18091050966414,77.688528893662,1.20639941916032e-18,2.89946036400991e-15
"Bra037664",2.88376784407079,3.87488051076399,75.2039612829951,4.24514534137566e-18,9.27525664860205e-15
"Bra009406",-6.3536470826517,6.59194354242084,72.4346071123008,1.72659438763872e-17,3.45808079270908e-14
"Bra027181",-2.79591649610945,8.22483073439228,69.383153897617,8.107821969503e-17,1.49894917857719e-13
"Bra034565",4.15235941391402,2.15929878228834,68.1634373531261,1.50490446327436e-16,2.58349099073829e-13
"Bra025547",3.17959350254398,5.72929847860684,67.6627700721474,1.93992212993699e-16,3.10827256472703e-13
"Bra016316",3.10093634182676,3.10572029880552,66.4802236137422,3.53421661258285e-16,5.06101687696551e-13
"Bra024197",2.43979811683137,4.7453838589008,66.454953910284,3.57981554915593e-16,5.06101687696551e-13
"Bra033856",2.84231448999186,5.71998343835126,65.7176263245102,5.20383752011792e-16,6.94827949769522e-13
"Bra000111",-2.41490850707212,7.3417350668298,65.481634129481,5.86580715922142e-16,7.41993732972251e-13
"Bra007907_Bra007908_Bra007909",2.48304511558098,4.62114623451421,64.9802629995413,7.56520186109647e-16,9.09110307647962e-13
"Bra004491",4.98924455791853,2.25138321689511,64.8805011649637,7.95806712574511e-16,9.10781834762657e-13
"Bra020500",-5.22600067247943,9.28903559484996,64.0240805513336,1.22907703553472e-15,1.3427107941837e-12
"Bra021913",3.57293715812812,2.47952406621744,62.8348970559821,2.24780665931514e-15,2.34886022826001e-12
"Bra003687",-2.81940881162632,7.0025070797039,62.1281598185425,3.21816437581458e-15,3.22272344201365e-12
"Bra004810",2.90376833182248,8.74862830076725,62.0311869621566,3.38060688556304e-15,3.24998023550488e-12
"Bra036217",2.98398497522504,4.94437442039125,60.2830676408906,8.21510587633096e-15,7.59391748583609e-12
"Bra035117",2.4690704600587,5.39511987307004,59.5613009570471,1.18543459649367e-14,1.05385816118511e-11
"Bra014819",-3.55358099128556,6.69860023177192,59.492257915336,1.22776185874941e-14,1.05385816118511e-11
"Bra036334",-3.29667694170375,8.77672202863155,59.0844760142446,1.51046195952947e-14,1.25180837018384e-11
"Bra001697",-2.93001766134668,4.28321055782387,57.7507845732537,2.9752136048192e-14,2.3260629521066e-11
"Bra022680",2.59428903750012,3.42475921611549,57.734302898383,3.00024762899661e-14,2.3260629521066e-11
"Bra038908",-7.96422659652377,5.7290781605077,56.916267356124,4.54768408032784e-14,3.41559497458123e-11
"Bra031844",3.93524981525044,3.46153524447323,55.7231823927545,8.34286353273468e-14,5.99832853138785e-11
"Bra017187",4.97773479242977,1.91074255504503,55.689830561989,8.48561080416023e-14,5.99832853138785e-11
"Bra006273",-4.70778343691737,6.08811276004073,55.6214060889468,8.78616653987496e-14,6.03333504626728e-11
"Bra040442",2.98680723529835,4.41681298623423,55.5454211246079,9.13243050624492e-14,6.09691207741918e-11
"Bra025587",4.25936293731794,3.29871295123087,55.3635222740308,1.00178343908985e-13,6.50726031759069e-11
"Bra031841",3.1721200518302,4.21769486892086,55.2512936306242,1.06064478386466e-13,6.70829914089558e-11
"Bra005221",2.60755808434992,7.61539857062268,54.5892062328932,1.48549294013085e-13,9.1544454674628e-11
"Bra100459",-4.53449304406773,5.10081069238565,54.1421998116176,1.86492726868612e-13,1.12054154939005e-10
"Bra003007",4.58807451430122,8.44594674515784,53.7658676755625,2.2586266705489e-13,1.32399593658469e-10
"Bra018311",2.70390880206173,8.1360403813779,53.4685266291633,2.62769065979692e-13,1.50366469803713e-10
"Bra005176",-5.52922450346764,5.99769627614932,53.3851160355308,2.74166247091877e-13,1.53239804246655e-10
"Bra032870",3.33940139703383,2.2320653284456,52.9772038532655,3.37441990412712e-13,1.80286627086094e-10
"Bra012492",-2.68052994481353,5.04705550481365,52.9765216114056,3.37559216895824e-13,1.80286627086094e-10
"Bra023460",-2.11015443374838,6.16703137258661,52.9163353045101,3.48062754439658e-13,1.81855222613103e-10
"Bra022814",2.74722642971316,4.62772092125033,52.7423097182979,3.80309534572597e-13,1.94475730934421e-10
"Bra003126",3.02496801590805,4.95623254625706,52.3474396522223,4.65004438568316e-13,2.32831597428144e-10
"Bra023827",2.66147997074118,3.34014660914972,51.6388866202386,6.67071689086532e-13,3.27191856642974e-10
"Bra017474",3.72522291109211,4.23671601691201,50.635693577082,1.11204109630522e-12,5.34535914171992e-10
"Bra005071",3.23551512713467,3.20593881186867,49.8332467249294,1.67383511230528e-12,7.88803001747944e-10
"Bra005070",3.08671509733301,3.72910605453943,49.6619253142316,1.82656461061745e-12,8.44224112530382e-10
"Bra102601",2.15456686783052,4.28372068649309,49.4532066548311,2.03160191729676e-12,9.21273971326611e-10
"Bra004892",-1.61645109072785,6.83481985651026,49.3499744890127,2.14137244904686e-12,9.53069360007262e-10
"Bra006985",2.58306953247793,7.12945338321224,49.1416901585714,2.38125008355253e-12,1.04056299105639e-09
"Bra036607",3.0450720496915,4.35434931295891,49.0628517600036,2.47890715700745e-12,1.06389383234852e-09
"Bra030429",2.54122349358481,9.28959215413158,48.9682534801582,2.60139035681622e-12,1.0968739620302e-09
"Bra033980",-2.83302405671561,5.26263577050136,48.3647543554895,3.53871641046598e-12,1.44162719895054e-09
"Bra023576",2.1571605229135,3.89526140155233,48.364604617361,3.5389866330233e-12,1.44162719895054e-09
"Bra013115",-3.00269975776284,5.47573912764289,48.2629190112126,3.72734408856889e-12,1.49304979707775e-09
"Bra013340",1.88935930239046,4.69107214527181,47.8168768758035,4.67946456196719e-12,1.84370903741507e-09
"Bra028478",-2.66258797348848,6.30479968381538,47.6148325185267,5.18745072427841e-12,2.0108901726985e-09
"Bra024238",-3.9742801182629,7.6016811914784,47.5043103099418,5.48831359627825e-12,2.09374807893574e-09
"Bra013682",3.91872255424822,2.31714683505465,46.2625525622109,1.03421833015826e-11,3.88381302297244e-09
"Bra022802_Bra022803",2.67092756145339,7.70640549031981,46.1180944120853,1.11335430026528e-11,4.11667034655013e-09
"Bra011000",1.78732949485833,4.4422212350592,46.061804031976,1.14580699762656e-11,4.17247354256919e-09
"Bra029946",2.29442364345656,5.36446467938527,45.989936165328,1.1886201814101e-11,4.26377573731496e-09
"Bra008561",-2.58159894846397,4.17465168903486,45.9604683915871,1.20663423066588e-11,4.2647422205623e-09
"Bra029042",3.57939472011758,1.24065619651673,45.8327385466167,1.2879301020686e-11,4.48494253968247e-09
"Bra036155",-3.8130144388772,7.08621550306665,45.805058817926,1.30625770898632e-11,4.48494253968247e-09
"Bra022378",3.17102793457836,2.68100365377295,45.4763265613072,1.54494904913067e-11,5.17196044401265e-09
"Bra030161",3.51946912974172,5.10562164163362,45.4707005333556,1.54939315956108e-11,5.17196044401265e-09
"Bra001626",-2.53332571573102,5.91233677586029,45.4168198181231,1.59260799645021e-11,5.24338912146362e-09
"Bra001921",3.86208075086094,7.26791717785202,45.1060228081672,1.86650474912221e-11,6.06210474870315e-09
"Bra029614",-3.33041926285238,6.4481491412987,45.0105076535254,1.95980016452431e-11,6.2802449538903e-09
"Bra030671",2.54715198602491,5.0955428801548,44.9340197915293,2.03786490295668e-11,6.44447961548169e-09
"Bra009840",-3.04135824070688,4.37176766492128,44.8677804566542,2.10798018569659e-11,6.5391610343721e-09
"Bra007279",2.36640261709035,3.16699671485441,44.8545967272942,2.12222085662405e-11,6.5391610343721e-09
"Bra009773",-3.56662875870391,4.33806345549689,44.7769053512136,2.2081181374298e-11,6.71771029303643e-09
"Bra023130",1.81264793018855,3.58535393119565,44.5389751984464,2.49343642647565e-11,7.49090638423947e-09
"Bra038746",-3.38557476023845,3.47912476247741,44.510291016339,2.53023703698151e-11,7.50761937614983e-09
"Bra033881",2.08983418808507,8.22407336492621,44.2195141447564,2.9354041839741e-11,8.50179043328337e-09
"Bra019200",3.27829164780938,2.827131061757,44.2190880957499,2.93604313040909e-11,8.50179043328337e-09
"Bra017210",2.4236492805789,7.82872719364531,44.1413933093788,3.05492048088066e-11,8.74070938541498e-09
"Bra033713",-2.09092518833301,5.828695233309,43.7892883372085,3.65701078679094e-11,1.03403055587922e-08
"Bra029201",2.90195780790931,4.15899467802973,43.7343131522566,3.7611919496317e-11,1.05112194555172e-08
"Bra020656",-2.3043860057373,5.13455270158788,42.4690032418757,7.18112992780095e-11,1.97600220217455e-08
"Bra001090",2.58916354174413,10.1789212643321,42.4332227417684,7.31370929578753e-11,1.97600220217455e-08
"Bra006015",2.15465962781435,4.27207699281235,42.4322604266255,7.31730864581573e-11,1.97600220217455e-08
"Bra035502",-2.31812722698306,6.38909313530539,41.9726312871763,9.25598934677238e-11,2.45690453223156e-08
"Bra029831",2.33131158041398,8.25685060509845,41.9628124152978,9.30258435687242e-11,2.45690453223156e-08
"Bra029875",2.00232378621992,3.86276337925773,41.8226119600087,9.99409154525223e-11,2.6108477847673e-08
"Bra026156",2.21388327182347,6.46779743096494,41.5205931328043,1.16635804754848e-10,3.01422035642797e-08
"Bra031058",3.24408302670031,2.75797668843712,41.2577695738431,1.33420462718651e-10,3.41130574572348e-08
"Bra023526",-3.54216561716016,4.13492037071743,41.0983347107456,1.44759621224795e-10,3.66226603843866e-08
"Bra039777",2.33643188141496,4.4612113827996,41.0500207570657,1.48382592818357e-10,3.7148200372879e-08
"Bra008510",2.2204362679102,5.78906228752597,40.8855434150186,1.61410739535528e-10,3.97279388787146e-08
"Bra000778",-7.0301502548098,6.06290904665287,40.878507220565,1.61992927108015e-10,3.97279388787146e-08
"Bra011425",3.64716484429574,1.9990796886937,40.7241602436894,1.7530627284557e-10,4.25586965815195e-08
"Bra011671",4.3891012130743,8.52742073827589,40.5807841293067,1.88652820903652e-10,4.53408189759837e-08
"Bra036480",2.28383855541534,8.44895590053059,40.4148399356365,2.05375241735016e-10,4.88711738599939e-08
"Bra005208",2.24664312931602,6.22938538700596,40.2788392827922,2.20180956183474e-10,5.18806774599374e-08
"Bra101149",-4.44126034699781,2.50802300339484,39.8925059102644,2.6833074914779e-10,6.21353514812853e-08
"Bra018347",-3.19517572418753,5.570540942017,39.8885679264374,2.68872287345164e-10,6.21353514812853e-08
"Bra032520",-2.25469728885223,5.17875663363536,39.8164959205229,2.78978910821735e-10,6.38569442160913e-08
"Bra011965",2.10025605078899,4.96275818135781,39.6019568835215,3.11371137959536e-10,7.01620737619509e-08
"Bra016050",5.21291948254335,1.75533412946354,39.5957433690155,3.12363397375749e-10,7.01620737619509e-08
"Bra017113",-3.03118926618713,7.0440291431167,39.4611667386197,3.34648573599032e-10,7.44717020173993e-08
"Bra016610",3.70713435118792,2.09450341846315,39.3104677651714,3.61498124702197e-10,7.90560538768415e-08
"Bra033034",2.14156767020588,6.61381734492867,39.3004471231224,3.63358103642973e-10,7.90560538768415e-08
"Bra031389",2.4021946825387,10.1710202569422,39.2910181932169,3.65117000096921e-10,7.90560538768415e-08
"Bra016182",-5.41759422724021,6.32791850365723,39.0954720460482,4.03578906982136e-10,8.66037093786486e-08
"Bra032105",2.50525074281315,1.99886549982645,38.9349171869913,4.3817265215398e-10,9.31950577156528e-08
"Bra004581",-2.90362318022319,5.95165191193989,38.8788471391143,4.50940586589038e-10,9.5069351386675e-08
"Bra023084",2.02902258915849,9.00550481189146,38.7415519142486,4.83799609777709e-10,1.00603635374864e-07
"Bra012052",-1.97135505967724,7.5115839135421,38.7344502108535,4.8556302336208e-10,1.00603635374864e-07
"Bra019301",2.44151665291009,3.31389546947433,38.6293753753871,5.12418743617478e-10,1.05260445163269e-07
"Bra020672",-5.19200957175979,3.90254251675166,38.4678622139859,5.56627848922874e-10,1.13372828144173e-07
"Bra021636_Bra021637",2.60605751670626,7.53852981356759,38.4369777359358,5.65506687008716e-10,1.14213342147626e-07
"Bra006297",-1.98838485060135,5.31735798053964,38.2339131415444,6.27522786622188e-10,1.25673816286347e-07
"Bra015166",-1.70192537375619,6.71988938580545,38.2178520317654,6.32709152477657e-10,1.25673816286347e-07
"Bra019179",-4.04797084021703,5.59702303057103,38.1431918365241,6.57387146228631e-10,1.2950526780704e-07
"Bra003596",-2.07175054229709,7.4191128598421,38.0663085606344,6.83807535537737e-10,1.33614880561902e-07
"Bra019307",1.73338547840305,6.64158080388909,38.0240687997292,6.98772731396245e-10,1.35044231372818e-07
"Bra001819",1.53975978129735,6.00213722283396,38.014077208644,7.02360361221695e-10,1.35044231372818e-07
"Bra016300",-3.77049396026816,3.70472808632871,37.7742142938075,7.94247015748791e-10,1.5149946648021e-07
"Bra031208",2.38123226756418,3.90165810936001,37.7124369911955,8.1980214690133e-10,1.55142714949816e-07
"Bra019320",2.22997980907734,3.32213805628279,37.5352168199552,8.97772850449187e-10,1.68570880372623e-07
"Bra016265",2.95905549314732,2.39922749137501,37.4145123929447,9.55087988327635e-10,1.7794251714315e-07
"Bra006291",-3.19355115214884,4.85616337068039,37.3779269801225,9.73173243449505e-10,1.7972161254355e-07
"Bra004457",-2.42516523417084,4.26342574193305,37.3651042619874,9.79592712124703e-10,1.7972161254355e-07
"Bra018935",2.44621088892451,3.75290453376308,37.2885962190622,1.01878601823279e-09,1.85496236077324e-07
"Bra016381",1.9983885497174,5.71560185245259,37.1429331022737,1.0977987220284e-09,1.98379657783688e-07
"Bra007921",2.91888411815973,2.29334531311036,36.9400071916728,1.21820445226921e-09,2.18494968700284e-07
"Bra004130",1.99939579519614,3.15080557120111,36.8896035736276,1.25010774347235e-09,2.22556218567515e-07
"Bra011096",-1.85261320844588,4.67979701673512,36.5795232506351,1.46563255029987e-09,2.59007446425787e-07
"Bra031068",-2.97924530808992,3.30727250039245,36.4467986071736,1.56890607435073e-09,2.75234223291573e-07
"Bra040225",1.67997209357662,6.74535518568267,36.3960754497322,1.61027131446168e-09,2.8044391863603e-07
"Bra034120",1.3398017162116,5.02997096504228,36.3309954714387,1.66494813795564e-09,2.87880313292273e-07
"Bra016964",1.57186745589172,5.25887324832247,36.1650952349726,1.81288738139298e-09,3.11220966602849e-07
"Bra016266",-1.51855532093808,5.79914414052278,36.1287642947748,1.84700284231202e-09,3.14828839093101e-07
"Bra013434",3.8670473265952,1.37822261104499,36.1022156025662,1.87233842035858e-09,3.16899870386606e-07
"Bra014975",-2.35012378620963,5.06049490348028,35.9616967094914,2.01234727014773e-09,3.38215064970144e-07
"Bra024807",-1.69734396713563,7.09361719614888,35.9455928742659,2.02904795938209e-09,3.38653740665203e-07
"Bra007333",-1.95254824723282,8.09872066519335,35.8920527480404,2.08557664109978e-09,3.45687924084084e-07
"Bra016432",3.49930469684597,2.76094348059961,35.7446414925241,2.24949843817692e-09,3.70304420980438e-07
"Bra027717",-2.28028750271605,4.93445898089587,35.7137751892116,2.28542275661662e-09,3.73658847160026e-07
"Bra011441",2.6123165001117,1.98589690121234,35.6934345365707,2.30941006996814e-09,3.75029470416312e-07
"Bra002423",1.80171646744258,5.68999239342516,35.4779542282867,2.57953639640196e-09,4.16084414437079e-07
"Bra036852",-4.9357215150511,3.17148224517823,35.4314891260023,2.6418116168463e-09,4.2328866932856e-07
"Bra021171",-1.67115769307877,6.94006632803797,35.3958437702054,2.69060418740209e-09,4.2825153006637e-07
"Bra039212",2.76874766561317,3.36277321129286,35.2870675503395,2.84515059268118e-09,4.49870719371708e-07
"Bra005564",1.59512653995055,5.53892537926717,35.0788909116386,3.16614431450831e-09,4.97353676175769e-07
"Bra020203",2.91303732640132,6.32588435155327,35.0450516718094,3.22164619007403e-09,5.02786003456099e-07
"Bra001948",-1.74618420489354,5.19427103144391,34.8998840991562,3.47101529498694e-09,5.38208913546555e-07
"Bra020505",-3.26030903656644,2.89766936254549,34.8667934136498,3.5305117775415e-09,5.43925128598926e-07
"Bra016202",2.23918459199092,2.23628358913277,34.8262782566824,3.60474982543462e-09,5.51825205761119e-07
"Bra007864",-2.41090159765065,7.47829317416723,34.7875999447022,3.67708025477001e-09,5.59335106602167e-07
