"","logFC","logCPM","LR","PValue","FDR"
"Bra033098",-12.2562068637076,6.07082272490962,520.666252504345,3.03102845477693e-115,7.28477378821087e-111
"Bra023495",-11.8902709781753,5.79229844279458,490.739093728781,9.83997480050036e-109,1.18246977177613e-104
"Bra016271",-14.1294104069521,8.14446679024879,480.191731351332,1.94099034047114e-106,1.55499206142944e-102
"Bra020643",-14.284380334922,8.28073646168838,452.413849224284,2.15178208148762e-100,1.29289826366184e-96
"Bra009785",7.63706180197715,6.01850263728127,424.164096341963,3.0275544340512e-94,1.45528486535973e-90
"Bra020631",-11.2201619356906,5.20685835420667,417.220574343009,9.82711092196117e-93,3.93641306497358e-89
"Bra011216",-11.0521461493769,5.13364961898895,397.052373471697,2.41324690030988e-88,8.28571085743538e-85
"Bra011765",-7.48777450660392,6.34155306165032,394.282024605455,9.67582910118672e-88,2.90686095772402e-84
"Bra014936",6.89420314289175,6.41335617663675,390.231874913447,7.36881833277435e-87,1.96780199788776e-83
"Bra029392",7.55698717903643,6.29647600841322,381.046536036743,7.36401592985411e-85,1.76986758858114e-81
"Bra032700",7.04668736192865,5.20177591140161,371.111827896122,1.0718047551499e-82,2.34179595320662e-79
"Bra026924",-9.15003401901278,5.02825962273455,363.455091773293,4.9803228693953e-81,9.97475665358723e-78
"Bra009821",7.61777561365784,5.90062912497287,356.227196766531,1.86686487516363e-79,3.45140233920635e-76
"Bra013702",-11.0875827744294,4.96540669014023,331.953257177723,3.60885209090379e-74,6.19536793948441e-71
"Bra019678",7.44041300094032,5.84010025547715,323.317547498401,2.74333610961258e-72,4.27778211810254e-69
"Bra032339",8.65723225148127,4.71457898708968,323.243018297623,2.84782033326291e-72,4.27778211810254e-69
"Bra033316",7.90205873572049,4.70169854329274,317.239779469809,5.78289165035989e-71,8.17564811322057e-68
"Bra001707",-9.135137265972,4.67738943713482,304.120007024862,4.17042810216743e-68,5.568448278194e-65
"Bra040221",5.14451931076928,5.27974747610586,300.183761120998,3.00424987420375e-67,3.80021797245331e-64
"Bra035136",5.3279566615396,6.43302625618466,298.250483624066,7.92384041192344e-67,9.5220790230084e-64
"Bra017778",-10.3214887338756,4.19429347386545,291.862332313352,1.95332883744075e-65,2.23553834662147e-62
"Bra012631",4.60307212097748,5.93756405263143,289.883463633117,5.27167407392882e-65,5.75906430421843e-62
